"Nov 01, 2023 - Nov 30, 2023",,,,,,
Top Products By Profit,,,,,,
Top Products By Quantity,,,,,,
Product,Quantity,Unit Cost,Unit Price,% Gross Sales,COGS,Gross Profit
Chicken Momo Kothey Non-Veg Mo: Mo,13,$0.00,$15.00,0.58%,$0.00,$195.00
Chicken Korma Non Veg Curries,12,$0.00,$16.00,0.57%,$0.00,$192.00
Butter Garlic Shrimp Non -Veg- Appetizers,12,$0.00,$15.00,0.53%,$0.00,$180.00
Chicken Tandoori Half Non-Veg Sekuwa and More (Authentic Nepali Barbecue),12,$0.00,$15.00,0.53%,$0.00,$180.00
Chicken Manchurian Non -Veg- Appetizers,12,$0.00,$14.00,0.50%,$0.00,$168.00
Ajwain Garlic Soup Veg-Soups,12,$0.00,$12.00,0.43%,$0.00,$144.00
Veg Pakora Veg-Appetizers,12,$0.00,$12.00,0.43%,$0.00,$144.00
"Chicken Keema Naan Non-Veg Rice, Noodles and Flatbreads",12,$0.00,$8.00,0.28%,$0.00,$96.00
Lalmohan Desserts,12,$0.00,$5.00,0.18%,$0.00,$60.00
Goat Sekuwa Non-Veg Sekuwa and More (Authentic Nepali Barbecue),11,$0.00,$20.00,0.65%,$0.00,$220.00
Aalu Jeera Veg Authentic Nepali,11,$0.00,$12.00,0.39%,$0.00,$132.00
Sweet Lassi Drinks,11,$0.00,$5.00,0.16%,$0.00,$55.00
Salty Lassi Drinks,11,$0.00,$5.00,0.16%,$0.00,$55.00
Chicken Tandoori Full Non-Veg Sekuwa and More (Authentic Nepali Barbecue),10,$0.00,$25.00,0.74%,$0.00,$250.00
Rasmalai Desserts,10,$0.00,$5.00,0.15%,$0.00,$50.00
Buff Chili Non-Veg Chilli Specials,9,$0.00,$18.00,0.48%,$0.00,$162.00
Pork Momo - Steamed Non-Veg Mo: Mo,9,$0.00,$16.00,0.43%,$0.00,$144.00
Tofu Chilli Veg Chili Specials,9,$0.00,$14.00,0.37%,$0.00,$126.00
Veg Spring Rolls Veg-Appetizers,9,$0.00,$12.00,0.32%,$0.00,$108.00
Veg Sekuwa Veg Sekuwa (Authentic Nepali Barbecue),8,$0.00,$20.00,0.47%,$0.00,$160.00
Lamb Korma Non Veg Curries,8,$0.00,$18.00,0.43%,$0.00,$144.00
Paneer Chilli Veg Chili Specials,8,$0.00,$16.00,0.38%,$0.00,$128.00
Chicken 65 Non -Veg- Appetizers,8,$0.00,$15.00,0.36%,$0.00,$120.00
Aalu Sadeko Veg Authentic Nepali,8,$0.00,$14.00,0.33%,$0.00,$112.00
Chana Masala Veg Curries - Served with Rice,8,$0.00,$14.00,0.33%,$0.00,$112.00
Chicken Thakali Thali Lunch Special,7,$0.00,$20.00,0.41%,$0.00,$140.00
"Paneer Fried Rice Veg-Rice, Noodles and Flatbreads",7,$0.00,$18.00,0.37%,$0.00,$126.00
Chicken Sekuwa Non-Veg Sekuwa and More (Authentic Nepali Barbecue),7,$0.00,$18.00,0.37%,$0.00,$126.00
Malai Chicken Non Veg Curries,7,$0.00,$16.00,0.33%,$0.00,$112.00
Chicken Kadai Non Veg Curries,7,$0.00,$15.00,0.31%,$0.00,$105.00
"Tofu Fried Rice Veg-Rice, Noodles and Flatbreads",7,$0.00,$15.00,0.31%,$0.00,$105.00
Mix Veg Curry Veg Curries - Served with Rice,7,$0.00,$15.00,0.31%,$0.00,$105.00
Mix Veg Curry Veg Curries - Served with Rice,7,$0.00,$14.00,0.29%,$0.00,$98.00
Coconut Shrimp Non -Veg- Appetizers,7,$0.00,$14.00,0.29%,$0.00,$98.00
Aalu Bhanta (Baingan) Curry Veg Curries - Served with Rice,7,$0.00,$14.00,0.29%,$0.00,$98.00
Aalu Cauli Curry Veg Curries - Served with Rice,7,$0.00,$14.00,0.29%,$0.00,$98.00
Dal Bhat Power 24 Hour :) Veg-Soups,7,$0.00,$12.00,0.25%,$0.00,$84.00
Custom_Item Open Charge,7,$0.00,$3.00,0.06%,$0.00,$21.00
Half and Half Momo Non-Veg Mo: Mo,6,$0.00,$15.00,0.27%,$0.00,$90.00
Mutton Soup Non-Vegetarian Soups,6,$0.00,$15.00,0.27%,$0.00,$90.00
Yogurt Add-On,6,$0.00,$3.00,0.05%,$0.00,$18.00
Pork Sekuwa Non-Veg Sekuwa and More (Authentic Nepali Barbecue),5,$0.00,$20.00,0.30%,$0.00,$100.00
Buff Sukuti Non -Veg- Appetizers,5,$0.00,$20.00,0.30%,$0.00,$100.00
Salmon Sekuwa Non-Veg Sekuwa and More (Authentic Nepali Barbecue),5,$0.00,$18.00,0.27%,$0.00,$90.00
"Buff Hakka Noodles Non-Veg Rice, Noodles and Flatbreads",5,$0.00,$18.00,0.27%,$0.00,$90.00
Buff Thukpa Non-Vegetarian Soups,5,$0.00,$18.00,0.27%,$0.00,$90.00
"Shrimp Fried Rice Non-Veg Rice, Noodles and Flatbreads",5,$0.00,$16.00,0.24%,$0.00,$80.00
Fish Curry Non-Veg Authentic Nepali Curries,5,$0.00,$16.00,0.24%,$0.00,$80.00
Chicken 65 Non -Veg- Appetizers,5,$0.00,$14.00,0.21%,$0.00,$70.00
Schezwan Chicken Non -Veg- Appetizers,5,$0.00,$14.00,0.21%,$0.00,$70.00
Tomato Soup Veg-Soups,5,$0.00,$12.00,0.18%,$0.00,$60.00
Smiley Fries Veg-Appetizers,5,$0.00,$12.00,0.18%,$0.00,$60.00
Chicken Sweetcorn Soup Non-Vegetarian Soups,5,$0.00,$12.00,0.18%,$0.00,$60.00
Lentil Soup Veg-Soups,5,$0.00,$12.00,0.18%,$0.00,$60.00
